name,compound_id,smiles,mc4r_ki_nm,mc4r_pchembl_ki,mc4r_functional_ic50_nm,mc4r_functional_pchembl,cyp3a4_ic50_nm,cyp3a4_pchembl,logd,caco2_permeability,mouse_auc,mouse_cl,mouse_half_life_h,mouse_cmax,source_document_chembl_id,source_title,source_doi,source_pubmed_id,source_year
CHEMBL236521,CHEMBL236521,Cc1ccc(N2CCN(C(=O)[C@@H](Cc3ccc(Cl)cc3Cl)N3CCCC3=O)CC2)c([C@H](CC(C)C)NC(=O)CCN(C)C)c1,0.59,9.23,19.0,7.72,6000.0,5.22,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL262321,CHEMBL262321,Cc1ccc(N2CCN(C(=O)[C@@H](Cc3ccc(Cl)cc3Cl)N3CCCC3=O)CC2)c([C@H](CC(C)C)NC(=O)[C@@H](C)N)c1,0.71,9.15,,,2900.0,5.54,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL393788,CHEMBL393788,CC(C)C[C@H](NCCCN)c1cccc(F)c1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,0.9,9.05,44.0,7.36,16000.0,4.8,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL393576,CHEMBL393576,CC(C)C[C@H](NCCN)c1cccc(F)c1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,0.94,9.03,21.0,7.68,4900.0,5.31,1.8,6.7,5963.0,15.0,10.0,931.5,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL237578,CHEMBL237578,CC(C)C[C@H](NCCCN)c1ccccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,0.95,9.02,,,3400.0,5.47,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL236519,CHEMBL236519,CC(C)C[C@H](NCCN)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,1.0,9.0,,,6300.0,5.2,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL412023,CHEMBL412023,CNCC(=O)N[C@@H](CC(C)C)c1cc(C)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,1.0,9.0,,,3600.0,5.44,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL397581,CHEMBL397581,CC(C)C[C@H](NC(=O)CCN)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,1.1,8.96,,,5400.0,5.27,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL397583,CHEMBL397583,CNCCC(=O)N[C@@H](CC(C)C)c1cc(C)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,1.4,8.85,52.0,7.28,3400.0,5.47,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL438683,CHEMBL438683,CC(C)C[C@H](NCCCN)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,1.4,8.85,,,15000.0,4.82,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL237365,CHEMBL237365,CC(C)C[C@@H](c1cccc(F)c1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1)N(C)CCN,1.5,8.82,99.0,7.0,650.0,6.19,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL397584,CHEMBL397584,CC(C)C[C@H](NC(=O)CCN(C)C)c1ccccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,1.5,8.82,80.0,7.1,6900.0,5.16,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL397580,CHEMBL397580,CC(C)C[C@H](NC(=O)CCN)c1cccc(F)c1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,1.9,8.72,480.0,6.32,6700.0,5.17,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL391028,CHEMBL391028,CC(C)C[C@H](NC(=O)CCN)c1ccccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,2.0,8.7,94.0,7.03,2900.0,5.54,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
CHEMBL235640,CHEMBL235640,CNCC(=O)N[C@@H](CC(C)C)c1ccccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,2.4,8.62,53.0,7.28,2300.0,5.64,,,,,,,CHEMBL1137470,Pyrrolidinones as potent functional antagonists of the human melanocortin-4 receptor.,10.1016/j.bmcl.2007.07.097,17822895,2007
